number,timestamp,src_ip,dst_ip,protocol,src_port,dst_port,seq,length
1,2018-12-22 01:04:02.863612,192.168.1.196,104.248.160.24,TCP,59932,80,0,74
2,2018-12-22 01:04:03.881304,192.168.1.196,104.248.160.24,TCP,59932,80,0,74
3,2018-12-22 01:04:05.961366,192.168.1.196,104.248.160.24,TCP,59932,80,0,74
4,2018-12-22 01:04:10.041294,192.168.1.196,104.248.160.24,TCP,59932,80,0,74
5,2018-12-22 01:04:18.441479,192.168.1.196,104.248.160.24,TCP,59932,80,0,74
6,2018-12-22 01:04:35.081492,192.168.1.196,104.248.160.24,TCP,59932,80,0,74
7,2018-12-22 01:05:07.721377,192.168.1.196,104.248.160.24,TCP,59932,80,0,74
8,2018-12-22 01:06:15.921971,192.168.1.196,104.248.160.24,TCP,59934,80,0,74
9,2018-12-22 01:06:17.001358,192.168.1.196,104.248.160.24,TCP,59934,80,0,74
10,2018-12-22 01:06:17.026340,104.248.160.24,192.168.1.196,TCP,80,59934,0,74
11,2018-12-22 01:06:17.026590,192.168.1.196,104.248.160.24,TCP,59934,80,1,66
12,2018-12-22 01:06:17.026840,192.168.1.196,104.248.160.24,TCP,59934,80,1,215
13,2018-12-22 01:06:17.057323,104.248.160.24,192.168.1.196,TCP,80,59934,1,66
14,2018-12-22 01:06:17.058832,104.248.160.24,192.168.1.196,TCP,80,59934,1,2962
15,2018-12-22 01:06:17.059071,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
16,2018-12-22 01:06:17.059320,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
17,2018-12-22 01:06:17.070068,104.248.160.24,192.168.1.196,TCP,80,59934,2897,1514
18,2018-12-22 01:06:17.070315,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
19,2018-12-22 01:06:17.082059,104.248.160.24,192.168.1.196,TCP,80,59934,5793,1514
20,2018-12-22 01:06:17.082307,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
21,2018-12-22 01:06:17.098812,104.248.160.24,192.168.1.196,TCP,80,59934,4345,1514
22,2018-12-22 01:06:17.099060,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
23,2018-12-22 01:06:17.106047,104.248.160.24,192.168.1.196,TCP,80,59934,8689,1514
24,2018-12-22 01:06:17.106294,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
25,2018-12-22 01:06:17.134781,104.248.160.24,192.168.1.196,TCP,80,59934,7241,1514
26,2018-12-22 01:06:17.134789,104.248.160.24,192.168.1.196,TCP,80,59934,11585,1514
27,2018-12-22 01:06:17.135027,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
28,2018-12-22 01:06:17.135278,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
29,2018-12-22 01:06:17.146274,104.248.160.24,192.168.1.196,TCP,80,59934,10137,1514
30,2018-12-22 01:06:17.146771,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
31,2018-12-22 01:06:17.158017,104.248.160.24,192.168.1.196,TCP,80,59934,13033,1514
32,2018-12-22 01:06:17.158264,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
33,2018-12-22 01:06:17.170012,104.248.160.24,192.168.1.196,TCP,80,59934,14481,1514
34,2018-12-22 01:06:17.170258,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
35,2018-12-22 01:06:17.196245,104.248.160.24,192.168.1.196,TCP,80,59934,17377,1514
36,2018-12-22 01:06:17.196743,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
37,2018-12-22 01:06:17.207489,104.248.160.24,192.168.1.196,TCP,80,59934,15929,1514
38,2018-12-22 01:06:17.207496,104.248.160.24,192.168.1.196,TCP,80,59934,20273,1514
39,2018-12-22 01:06:17.207736,192.168.1.196,104.248.160.24,TCP,59934,80,150,66
40,2018-12-22 01:06:17.207986,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
41,2018-12-22 01:06:17.219482,104.248.160.24,192.168.1.196,TCP,80,59934,23169,1514
42,2018-12-22 01:06:17.219979,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
43,2018-12-22 01:06:17.231475,104.248.160.24,192.168.1.196,TCP,80,59934,24617,1514
44,2018-12-22 01:06:17.231973,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
45,2018-12-22 01:06:17.252964,104.248.160.24,192.168.1.196,TCP,80,59934,30409,1514
46,2018-12-22 01:06:17.253461,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
47,2018-12-22 01:06:17.264721,104.248.160.24,192.168.1.196,TCP,80,59934,28961,1514
48,2018-12-22 01:06:17.264967,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
49,2018-12-22 01:06:17.275699,104.248.160.24,192.168.1.196,TCP,80,59934,31857,1514
50,2018-12-22 01:06:17.275947,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
51,2018-12-22 01:06:17.279448,104.248.160.24,192.168.1.196,TCP,80,59934,33305,1514
52,2018-12-22 01:06:17.279945,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
53,2018-12-22 01:06:17.291691,104.248.160.24,192.168.1.196,TCP,80,59934,34753,1514
54,2018-12-22 01:06:17.291938,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
55,2018-12-22 01:06:17.303684,104.248.160.24,192.168.1.196,TCP,80,59934,40545,1514
56,2018-12-22 01:06:17.303931,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
57,2018-12-22 01:06:17.315676,104.248.160.24,192.168.1.196,TCP,80,59934,41993,1514
58,2018-12-22 01:06:17.315924,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
59,2018-12-22 01:06:17.327670,104.248.160.24,192.168.1.196,TCP,80,59934,43441,1514
60,2018-12-22 01:06:17.327917,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
61,2018-12-22 01:06:17.342910,104.248.160.24,192.168.1.196,TCP,80,59934,44889,1514
62,2018-12-22 01:06:17.343159,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
63,2018-12-22 01:06:17.351656,104.248.160.24,192.168.1.196,TCP,80,59934,18825,1514
64,2018-12-22 01:06:17.351904,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
65,2018-12-22 01:06:17.363649,104.248.160.24,192.168.1.196,TCP,80,59934,21721,1514
66,2018-12-22 01:06:17.363897,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
67,2018-12-22 01:06:17.375643,104.248.160.24,192.168.1.196,TCP,80,59934,26065,1514
68,2018-12-22 01:06:17.375890,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
69,2018-12-22 01:06:17.387636,104.248.160.24,192.168.1.196,TCP,80,59934,27513,1514
70,2018-12-22 01:06:17.387883,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
71,2018-12-22 01:06:17.399630,104.248.160.24,192.168.1.196,TCP,80,59934,36201,1514
72,2018-12-22 01:06:17.399877,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
73,2018-12-22 01:06:17.431612,104.248.160.24,192.168.1.196,TCP,80,59934,49233,1514
74,2018-12-22 01:06:17.431619,104.248.160.24,192.168.1.196,TCP,80,59934,50681,1514
75,2018-12-22 01:06:17.431858,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
76,2018-12-22 01:06:17.432108,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
77,2018-12-22 01:06:17.443104,104.248.160.24,192.168.1.196,TCP,80,59934,37649,1514
78,2018-12-22 01:06:17.443352,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
79,2018-12-22 01:06:17.474602,104.248.160.24,192.168.1.196,TCP,80,59934,39097,1514
80,2018-12-22 01:06:17.474612,104.248.160.24,192.168.1.196,TCP,80,59934,52129,1514
81,2018-12-22 01:06:17.474843,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
82,2018-12-22 01:06:17.475089,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
83,2018-12-22 01:06:17.497073,104.248.160.24,192.168.1.196,TCP,80,59934,53577,1514
84,2018-12-22 01:06:17.497571,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
85,2018-12-22 01:06:17.500071,104.248.160.24,192.168.1.196,TCP,80,59934,55025,1514
86,2018-12-22 01:06:17.500319,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
87,2018-12-22 01:06:17.528844,104.248.160.24,192.168.1.196,TCP,80,59934,56473,1514
88,2018-12-22 01:06:17.529062,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
89,2018-12-22 01:06:17.549813,104.248.160.24,192.168.1.196,TCP,80,59934,57921,1514
90,2018-12-22 01:06:17.550047,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
91,2018-12-22 01:06:17.570530,104.248.160.24,192.168.1.196,TCP,80,59934,59369,1514
92,2018-12-22 01:06:17.570779,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
93,2018-12-22 01:06:17.591519,104.248.160.24,192.168.1.196,TCP,80,59934,62265,1514
94,2018-12-22 01:06:17.591767,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
95,2018-12-22 01:06:17.601766,104.248.160.24,192.168.1.196,TCP,80,59934,63713,1514
96,2018-12-22 01:06:17.602011,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
97,2018-12-22 01:06:17.602764,104.248.160.24,192.168.1.196,TCP,80,59934,46337,1514
98,2018-12-22 01:06:17.603011,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
99,2018-12-22 01:06:17.614758,104.248.160.24,192.168.1.196,TCP,80,59934,66609,1514
100,2018-12-22 01:06:17.615005,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
101,2018-12-22 01:06:17.626750,104.248.160.24,192.168.1.196,TCP,80,59934,68057,1514
102,2018-12-22 01:06:17.626997,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
103,2018-12-22 01:06:17.638743,104.248.160.24,192.168.1.196,TCP,80,59934,69505,1514
104,2018-12-22 01:06:17.638999,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
105,2018-12-22 01:06:17.660759,104.248.160.24,192.168.1.196,TCP,80,59934,70953,1514
106,2018-12-22 01:06:17.660984,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
107,2018-12-22 01:06:17.703488,104.248.160.24,192.168.1.196,TCP,80,59934,72401,1514
108,2018-12-22 01:06:17.703727,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
109,2018-12-22 01:06:17.724463,104.248.160.24,192.168.1.196,TCP,80,59934,73849,1514
110,2018-12-22 01:06:17.724699,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
111,2018-12-22 01:06:17.745183,104.248.160.24,192.168.1.196,TCP,80,59934,75297,1514
112,2018-12-22 01:06:17.745430,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
113,2018-12-22 01:06:17.765920,104.248.160.24,192.168.1.196,TCP,80,59934,76745,1514
114,2018-12-22 01:06:17.766167,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
115,2018-12-22 01:06:17.786908,104.248.160.24,192.168.1.196,TCP,80,59934,78193,1514
116,2018-12-22 01:06:17.787156,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
117,2018-12-22 01:06:17.807648,104.248.160.24,192.168.1.196,TCP,80,59934,46337,1514
118,2018-12-22 01:06:17.807894,192.168.1.196,104.248.160.24,TCP,59934,80,150,94
119,2018-12-22 01:06:17.822389,104.248.160.24,192.168.1.196,TCP,80,59934,47785,1514
120,2018-12-22 01:06:17.822396,104.248.160.24,192.168.1.196,TCP,80,59934,60817,1514
121,2018-12-22 01:06:17.822636,192.168.1.196,104.248.160.24,TCP,59934,80,150,86
122,2018-12-22 01:06:17.822885,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
123,2018-12-22 01:06:17.833634,104.248.160.24,192.168.1.196,TCP,80,59934,79641,1514
124,2018-12-22 01:06:17.833880,192.168.1.196,104.248.160.24,TCP,59934,80,150,78
